listing_url,listing_type,scraped_at,price
https://www.sahibinden.com/ilan/emlak-konut-satilik-sirinevlerde-1-katta-meydana-yakin-3-plus1-satilik-daire-1296312016/detay,satilik,2026-05-26T18:08:29.215783,
https://www.sahibinden.com/ilan/emlak-konut-satilik-lunox-huzur-metro-yakin-1-plus1-yuksek-giris-otoparkli-satilik-daire-1318794162/detay,satilik,2026-05-26T18:08:29.217221,
https://www.sahibinden.com/ilan/emlak-konut-satilik-baglarcesme-de-kira-oder-gibi-daire-sahibi-olma-imkani-1317949424/detay,satilik,2026-05-26T18:08:29.219537,
https://www.sahibinden.com/ilan/emlak-konut-satilik-efe-den-merkezi-konumlu-cift-cephe-krediye-uygun-dekorlu2-plus1-1313081816/detay,satilik,2026-05-26T18:08:29.222794,
https://www.sahibinden.com/ilan/emlak-konut-satilik-siem-den-beylikduzu-baris-mah.metrobuse-yakin-3-plus1-daire-1311438980/detay,satilik,2026-05-26T18:08:29.225763,
https://www.sahibinden.com/ilan/emlak-konut-satilik-satilik-dublex-avcilar-tahtakale-tapu-masrafi-yok-1318786972/detay,satilik,2026-05-26T18:08:29.229784,
https://www.sahibinden.com/ilan/emlak-konut-satilik-altaycesme-metem-sitesinde-guvenlikli-otoparkli-3-plus1-daire-130m2-1310071870/detay,satilik,2026-05-26T18:08:29.231357,
https://www.sahibinden.com/ilan/emlak-konut-satilik-kurtkoy-metro-duragina-yakin-satilik-2-plus1-luks-daire-1318782428/detay,satilik,2026-05-26T18:08:29.233197,
https://www.sahibinden.com/ilan/emlak-konut-satilik-teknik-yapi-metropark-ta-1-plus1-ayri-mutfakli-satilik-daire-1315119041/detay,satilik,2026-05-26T18:08:29.235113,
https://www.sahibinden.com/ilan/emlak-konut-satilik-erdas-insaattan-merkez-mh-satilik-2-plus1-asansorlu-arakat-daire-1318784288/detay,satilik,2026-05-26T18:08:29.237362,
https://www.sahibinden.com/ilan/emlak-konut-satilik-direct-ten-metro-hilltowna-komsu-otoparkli-manzarali-dubleks-1315106704/detay,satilik,2026-05-26T18:08:29.239112,
https://www.sahibinden.com/ilan/emlak-konut-satilik-yaricilar-insaat-tan-site-icinde-satilik-luks-daireler-1318782314/detay,satilik,2026-05-26T18:08:29.240534,
https://www.sahibinden.com/ilan/emlak-konut-satilik-cumhuriyet-mah-kelepir-metrobuse-yakin-site-ici-luks-1-plus1-1308973062/detay,satilik,2026-05-26T18:08:29.242350,
https://www.sahibinden.com/ilan/emlak-konut-satilik-park-mavera-3-de-botanik-bahce-manzarali-satilik-1.0-bos-daire-1248676054/detay,satilik,2026-05-26T18:08:29.244209,
https://www.sahibinden.com/ilan/emlak-konut-satilik-maslak-1453-bos-169m2-c-kule-2-plus1-hemen-teslim-vatandasliga-uygun-1317037387/detay,satilik,2026-05-26T18:08:29.245744,
