listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at,sub_district
26619-11881,satilik,Maltepe,Altıntepe,7950000,110,100,72272.72727272728,3,1,4,2,NA,5,31,NA,NA,Combi Boiler,NA,1,Unfurnished,Vacant,FALSE,NA,500,"South, East",Not Eligible,Land Title,No,NA,2026-03-17T13:22:39Z,Altıntepe
120587-754,satilik,Maltepe,Küçükyalı,6000000,90,80,66666.66666666667,2,1,3,1,NA,4,26,NA,NA,Combi Boiler,NA,1,Unfurnished,Owner-occupied,FALSE,NA,NA,"South, East, West",Eligible,Construction Easement,No,NA,2026-03-17T13:22:48Z,Küçükyalı
126151-1557,satilik,Maltepe,İdealtepe,12950000,135,110,95925.92592592593,3,1,4,1,NA,4,6,NA,NA,Central (Metered),NA,1,Unfurnished,Owner-occupied,FALSE,NA,NA,"South, West",Eligible,Condominium Title,No,NA,2026-03-17T13:22:58Z,İdealtepe
150247-601,satilik,Maltepe,Altıntepe,7650000,80,70,95625,2,1,3,0,Raised Ground,5,6,NA,NA,Combi Boiler,NA,1,Unfurnished,Owner-occupied,FALSE,NA,300,"South, West",Eligible,Condominium Title,No,NA,2026-03-17T13:23:09Z,Altıntepe
3447-22153,satilik,Maltepe,Aydınevler,5950000,80,70,74375,2,1,3,1,NA,4,15,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Owner-occupied,FALSE,NA,300,South,Eligible,Construction Easement,No,NA,2026-03-17T13:23:17Z,Aydınevler
139587-903,satilik,Maltepe,Küçükyalı,10800000,110,100,98181.81818181818,3,1,4,4,NA,5,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,NA,South,Eligible,Condominium Title,No,NA,2026-03-17T13:23:26Z,Küçükyalı
6060-43869,satilik,Maltepe,Küçükyalı,7650000,80,70,95625,2,1,3,4,NA,4,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,500,"North, West",Eligible,Construction Easement,No,NA,2026-03-17T13:23:35Z,Küçükyalı
0-45857620,satilik,Maltepe,Esenkent,6000000,82,70,73170.73170731707,2,1,3,-3,Sub-level 3,5,0,Reinforced Concrete,New,Underfloor Heating,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"East, West",Eligible,Condominium Title,Yes,NA,2026-03-17T13:23:44Z,Esenkent
2986-17154,satilik,Maltepe,Zümrütevler,21900000,195,145,112307.69230769231,3,1,4,8,NA,9,11,NA,NA,Central (Metered),NA,2,Unfurnished,Tenant-occupied,TRUE,Nish Adalar,9500,"South, West",Eligible,Condominium Title,No,NA,2026-03-17T13:23:53Z,Zümrütevler
2312-25670,satilik,Maltepe,Cevizli,12000000,119,74,100840.33613445378,2,1,3,5,NA,29,10,Reinforced Concrete,Second-hand,Central (Metered),Natural Gas,1,Unfurnished,Tenant-occupied,FALSE,NA,NA,NA,Eligible,Condominium Title,No,NA,2026-03-17T13:24:01Z,Cevizli
76795-1829,satilik,Maltepe,Küçükyalı,13500000,120,95,112500,3,1,4,5,NA,5,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Construction Easement,No,NA,2026-03-17T13:24:09Z,Küçükyalı
14946-14523,satilik,Maltepe,Altıntepe,7850000,110,72,71363.63636363637,2,1,3,2,NA,5,0,Reinforced Concrete,New,Central,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,South,Eligible,Construction Easement,No,NA,2026-03-17T13:24:17Z,Altıntepe
5734-2673,satilik,Maltepe,Küçükyalı,13000000,100,90,130000,3,1,4,2,NA,4,0,NA,NA,Central (Metered),NA,1,Unfurnished,Vacant,FALSE,NA,NA,South,Eligible,No Title Deed,No,NA,2026-03-17T13:24:30Z,Küçükyalı
1003-13740,satilik,Maltepe,İdealtepe,7900000,130,120,60769.230769230766,3,1,4,4,NA,4,26,NA,NA,Combi Boiler,NA,2,Unfurnished,Vacant,TRUE,Eraykent Sitesi,NA,"South, East, West",Eligible,Condominium Title,No,NA,2026-03-17T13:24:40Z,İdealtepe
2150-4653,satilik,Maltepe,Aydınevler,7600000,115,105,66086.95652173914,3,1,4,1,NA,4,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,TRUE,Derviş Bey Sitesi,NA,"North, South, East, West",Eligible,Condominium Title,No,NA,2026-03-17T13:24:49Z,Aydınevler
133124-552,satilik,Maltepe,Küçükyalı,10700000,105,82,101904.76190476191,2,1,3,4,NA,6,0,NA,NA,Underfloor Heating,NA,2,Unfurnished,Vacant,FALSE,NA,NA,South,Eligible,Condominium Title,No,NA,2026-03-17T13:24:58Z,Küçükyalı
39972-7223,satilik,Maltepe,İdealtepe,7250000,85,70,85294.11764705883,2,1,3,-1,Garden Floor,4,2,Reinforced Concrete,New,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"South, East, West",Eligible,Condominium Title,NA,NA,2026-03-17T13:25:08Z,İdealtepe
1057-12472,satilik,Maltepe,Küçükyalı,6750000,70,60,96428.57142857143,1,1,2,0,Raised Ground,4,29,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"South, East",Eligible,Condominium Title,No,NA,2026-03-17T13:25:19Z,Küçükyalı
