listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at
165348-2,satilik,Pendik,Yenişehir,5750000,74.0,58.0,77702.7027027027,1,1,2,4.0,,4.0,11,,,Combi Boiler,,1.0,Furnished,Vacant,True,Mutlu City,3200.0,West,Eligible,Condominium Title,No,,2026-03-17 13:55:11
165243-2,satilik,Pendik,Yayalar,7350000,140.0,130.0,52500.0,3,1,4,3.0,,5.0,21,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,True,Dumankaya Kelebek Vadisi,3000.0,,Eligible,Land Title,No,,2026-03-17 13:55:21
135705-73,satilik,Pendik,Yayalar,6750000,117.0,100.0,57692.307692307695,2,1,3,,Mid Floor,7.0,8,Reinforced Concrete,Second-hand,Central (Metered),Natural Gas,2.0,Unfurnished,Vacant,True,Selective Port,4000.0,East,Eligible,Condominium Title,No,,2026-03-17 13:55:39
160381-44,satilik,Pendik,Yenişehir,8750000,140.0,120.0,62500.0,3,1,4,7.0,,7.0,16,,,Combi Boiler,,1.0,Unfurnished,Vacant,True,,2000.0,"North, South, East, West",Eligible,Construction Easement,No,,2026-03-17 13:55:57
3611-5582,satilik,Pendik,Doğu,6475000,160.0,140.0,40468.75,4,1,5,5.0,,5.0,31,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,400.0,West,Eligible,Construction Easement,No,,2026-03-17 13:56:07
165962-71,satilik,Pendik,Doğu,7750000,70.0,60.0,110714.28571428571,2,1,3,5.0,,5.0,0,,,Underfloor Heating,,1.0,Unfurnished,Vacant,False,,,"North, South, West",Eligible,Construction Easement,No,,2026-03-17 13:56:18
91631-180,satilik,Pendik,Çamlık,3500000,45.0,35.0,77777.77777777778,1,0,1,1.0,,8.0,11,,,Central (Metered),,1.0,Unfurnished,Vacant,True,Helenium Garden,3500.0,East,Eligible,Condominium Title,No,,2026-03-17 13:56:26
78142-1746,satilik,Pendik,Çınardere,9000000,95.0,75.0,94736.84210526316,2,1,3,6.0,,9.0,1,,,Central (Metered),,1.0,Unfurnished,Vacant,True,Siltaş Panorama,,South,Eligible,Condominium Title,No,,2026-03-17 13:56:34
162634-326,satilik,Pendik,Ahmet Yesevi,4190000,90.0,75.0,46555.555555555555,2,1,3,0.0,Raised Ground,5.0,11,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,,Eligible,Condominium Title,No,,2026-03-17 13:56:41
128313-404,satilik,Pendik,Çamlık,11750000,190.0,170.0,61842.10526315789,4,1,5,1.0,,6.0,11,,,Combi Boiler,,2.0,Unfurnished,Tenant-occupied,True,Esenyamaç Sitesi,1000.0,"South, East",Eligible,Condominium Title,Yes,,2026-03-17 13:56:51
125158-90,satilik,Pendik,Güllü Bağlar,7450000,126.0,95.0,59126.98412698413,2,1,3,0.0,Entrance Floor,9.0,4,,,Combi Boiler,,2.0,Furnished,Vacant,True,Edonia Garden,3500.0,South,Eligible,Condominium Title,No,,2026-03-17 13:57:01
158773-225,satilik,Pendik,Yenişehir,8800000,135.0,128.0,65185.18518518518,3,1,4,1.0,,5.0,16,,,Combi Boiler,,3.0,Unfurnished,Tenant-occupied,True,Gülpembe Evleri,2200.0,"South, West",Eligible,Condominium Title,Yes,,2026-03-17 13:57:11
161261-322,satilik,Pendik,Şeyhli,6500000,95.0,73.0,68421.05263157895,3,1,4,4.0,,5.0,6,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,500.0,"North, South, West",Eligible,Condominium Title,No,,2026-03-17 13:57:20
133645-57,satilik,Pendik,Çınardere,6250000,80.0,65.0,78125.0,2,1,3,7.0,,9.0,4,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,True,Aras Park,,North,Eligible,Condominium Title,Yes,,2026-03-17 13:57:38
165647-13,satilik,Pendik,Dumlupınar,4050000,60.0,42.0,67500.0,2,1,3,1.0,,6.0,0,,,Central (Metered),,1.0,Unfurnished,Vacant,True,,,South,Not Eligible,Cooperative Share,No,,2026-03-17 13:57:46
109495-2386,satilik,Pendik,Batı,5900000,73.0,65.0,80821.91780821918,2,0,2,0.0,Raised Ground,6.0,3,,Second-hand,Central (Metered),Natural Gas,1.0,Unfurnished,Owner-occupied,False,,670.0,"North, West",Eligible,Condominium Title,No,,2026-03-17 13:57:58
155700-907,satilik,Pendik,Doğu,7125000,85.0,74.0,83823.5294117647,2,1,3,-1.0,Garden Floor,8.0,0,,,Underfloor Heating,,1.0,Unfurnished,Vacant,True,,4900.0,"North, South, East, West",Eligible,Condominium Title,Yes,,2026-03-17 13:58:07
159341-32,satilik,Pendik,Çınardere,7850000,70.0,47.0,112142.85714285714,2,1,3,6.0,,8.0,0,,,Central (Metered),,1.0,,Vacant,True,Siltaş Panorama,,South,Eligible,Construction Easement,No,,2026-03-17 13:58:16
10432-2652,satilik,Pendik,Batı,9300000,120.0,100.0,77500.0,3,1,4,3.0,,6.0,0,,,Central (Metered),,2.0,Unfurnished,Vacant,False,,,"South, East, West",Eligible,Condominium Title,No,,2026-03-17 13:58:26
132421-14,satilik,Pendik,Kurtköy,6500000,100.0,90.0,65000.0,2,1,3,8.0,,8.0,6,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,East,Eligible,Condominium Title,No,,2026-03-17 13:58:35
136086-28,satilik,Pendik,Çınardere,6539000,95.0,80.0,68831.57894736843,2,1,3,0.0,Entrance Floor,9.0,0,,,Central (Metered),,2.0,Unfurnished,Vacant,True,,4000.0,"South, East, West",Eligible,Condominium Title,Yes,,2026-03-17 13:58:43
164226-8,satilik,Pendik,Çınardere,5900000,85.0,70.0,69411.76470588235,2,1,3,0.0,Raised Ground,9.0,0,,,Central (Metered),,1.0,Unfurnished,Vacant,False,,,South,Eligible,Construction Easement,No,,2026-03-17 13:58:53
159870-12,satilik,Pendik,Çınardere,6300000,74.0,67.0,85135.13513513513,2,1,3,3.0,,5.0,1,,,Underfloor Heating,,1.0,Unfurnished,Vacant,False,,,West,Eligible,Construction Easement,Yes,,2026-03-17 13:59:01
65181-4706,satilik,Pendik,Yenişehir,8450000,109.0,85.0,77522.93577981651,2,1,3,2.0,,8.0,7,Reinforced Concrete,Second-hand,Central (Metered),Natural Gas,1.0,Unfurnished,Tenant-occupied,True,Optimum Gardens Sitesi,4900.0,"South, East",Eligible,Condominium Title,No,,2026-03-17 13:59:10
128331-127,satilik,Pendik,Kaynarca,3900000,140.0,125.0,27857.14285714286,3,1,4,,Mid Floor,6.0,25,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,,Tenant-occupied,False,,100.0,South,Not Eligible,Land Title,No,,2026-03-17 13:59:19
3611-5481,satilik,Pendik,Yeni,5200000,110.0,90.0,47272.72727272727,3,1,4,0.0,Raised Ground,5.0,11,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,500.0,"South, East, West",Eligible,Condominium Title,No,,2026-03-17 13:59:28
34400-5158,satilik,Pendik,Ahmet Yesevi,6500000,95.0,75.0,68421.05263157895,2,1,3,3.0,,10.0,0,,,Combi Boiler,Natural Gas,2.0,Unfurnished,Vacant,False,,,"South, West",Eligible,Condominium Title,Yes,,2026-03-17 13:59:40
142191-125,satilik,Pendik,Batı,8150000,105.0,89.0,77619.04761904762,3,1,4,3.0,,6.0,0,,,Central (Metered),,1.0,Unfurnished,Vacant,False,,1250.0,"North, East, West",Eligible,Condominium Title,No,,2026-03-17 13:59:50
162634-299,satilik,Pendik,Batı,10950000,115.0,103.0,95217.39130434782,3,1,4,1.0,,6.0,1,,,Central (Metered),,2.0,Unfurnished,Vacant,False,,1350.0,"South, West",Eligible,Condominium Title,No,,2026-03-17 14:00:00
6738-20509,satilik,Pendik,Güllü Bağlar,9500000,124.0,100.0,76612.90322580645,3,1,4,1.0,,9.0,6,,,Central (Metered),,2.0,Unfurnished,Vacant,True,Atlantik Life Sitesi,5640.0,"South, East",Eligible,Condominium Title,No,,2026-03-17 14:00:10
158773-211,satilik,Pendik,Çınardere,7800000,220.0,155.0,35454.545454545456,4,1,5,4.0,,4.0,11,,,Combi Boiler,,3.0,Unfurnished,Vacant,False,,600.0,"North, East, West",Eligible,Condominium Title,Yes,,2026-03-17 14:00:20
