sub_district,count,avg_price,median_price,avg_ppm2,avg_gross_m2,avg_net_m2
Dursunköy,5,7780000,7000000,80897.39519306159,97.2,71.6
Habibler,1,7000000,7000000,53846.153846153844,130,110
Hamidiye,122,9475540.983606558,7000000,83471.4787065044,116.19672131147541,93.21311475409836
Telsiz,25,6845600,7000000,71008.30841842372,100.88,90.8
Şirinevler,93,6780892.473118279,7000000,55483.61738859233,124.6989247311828,109.68817204301075
Fatih Sultan Mehmet,9,6707777.777777778,6950000,67846.67509122846,102.33333333333333,88.77777777777777
İçerenköy,58,7626379.310344827,6950000,70906.39418660665,109.74137931034483,92.10344827586206
Aydınevler,40,7612000,6925000,81918.71242229838,98.1,84.325
Kocasinan Merkez,94,7390787.234042553,6887500,55906.65338725079,137.54255319148936,118.6063829787234
Gümüşpınar,20,7816250,6875000,70173.00743193482,112.75,94.25
Yenimahalle,28,7520714.285714285,6875000,63737.17155055637,117.21428571428571,101.03571428571429
Alemdağ,26,8225692.307692308,6857500,65875.56021732336,125.42307692307692,103.34615384615384
Terazidere,6,6835000,6855000,44267.81577593142,150.5,133.66666666666666
Kaptanpaşa,8,9142500,6845000,59998.4681372549,133.75,111.875
İstiklal,66,8343409.090909091,6825000,76618.85640422763,111.46969696969697,93.25757575757575
Bahçeköy Merkez,7,7792857.142857143,6800000,54824.19243643733,144.57142857142858,128.57142857142858
Çırçır,53,7201698.094339622,6800000,61811.98459646513,118.39622641509433,100.81132075471699
Aydıntepe,24,7882615.708333333,6765000,73234.37853766212,112.54166666666667,95.29166666666667
Yahya Kemal,69,7141811.579710145,6755000,68104.3511451654,104.65217391304348,92.56521739130434
Gökalp,39,7644615.333333333,6750000,74113.9067243714,109.48717948717949,89.84615384615384
Ptt Evleri,2,6750000,6750000,55833.33333333333,111,102.5
Veysel Karani,33,7699787.848484849,6750000,65538.62513004737,120.3030303030303,102.03030303030303
Kurtköy,47,7517978.70212766,6700000,65059.70575540367,120.04255319148936,98.97872340425532
Bağlarbaşı,170,6903117.647058823,6675000,62051.68087295933,112.69411764705882,96.20588235294117
Yayalar,25,6620600,6675000,57003.36374690056,121.48,104.48
Madenler,32,8412562.46875,6612500,72830.2001656465,113.4375,95.0625
Feriköy,63,7599841.26984127,6600000,68750.94628801872,110.73015873015873,97.31746031746032
Esentepe,164,7975835.365853659,6570000,73555.46916543265,111.89634146341463,95.2560975609756
Sahil,16,7669687.5,6570000,47131.62036792842,160.375,136.0625
Aşıkveysel,10,7144900,6550000,63617.06935608252,117,94.6
Yukarı Dudullu,13,7526846.153846154,6550000,72501.80556042893,100.3076923076923,83.53846153846153
Örnekköy,1,6550000,6550000,54583.333333333336,120,110
Merkez,562,7563131.669039146,6524500,62952.205022393064,123.41103202846975,107.2153024911032
